pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"ML1 1AA","ML1  1AA","ML1 1AA","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","1","275021","0657387","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032360","23C03","S99999999","S01004606","S02000886","1","5B1","S00124042","S01011473","S02002155","S34000527","S03000029","S99999999","1","7C1",55.793564,-3.994940,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1AB","ML1  1AB","ML1 1AB","200709","","S99999999","S99999999","S12000050","S13003060","S99999999","0","275751","0656296","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033766","23C12","S99999999","S01004577","S02000876","1","5B2","S00125575","S01011381","S02002138","S34000545","S03000029","S99999999","1","5B3",55.783956,-3.982807,"S99999999","","S23000009",3197,"S99999999","S99999999","S00170190","S01018631","S02003454","1"
"ML1 1AD","ML1  1AD","ML1 1AD","200711","201303","S99999999","S99999999","S12000050","S13003060","S99999999","0","276828","0656386","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033362","23C06","S99999999","S01004587","S02000878","1","5B1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.785040,-3.965685,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170226","S01018631","S02003454","1"
"ML1 1AE","ML1  1AE","ML1 1AE","201207","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277523","0657552","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.795687,-3.955133,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170064","S01018709","S02003468","1"
"ML1 1AF","ML1  1AF","ML1 1AF","201603","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277385","0657634","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.796388,-3.957370,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170058","S01018709","S02003468","1"
"ML1 1AG","ML1  1AG","ML1 1AG","201607","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277438","0657670","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.796725,-3.956541,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170058","S01018709","S02003468","1"
"ML1 1AH","ML1  1AH","ML1 1AH","201506","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277511","0657692","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.796941,-3.955387,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170058","S01018709","S02003468","1"
"ML1 1AJ","ML1  1AJ","ML1 1AJ","201508","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277501","0657574","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.795879,-3.955494,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170070","S01018709","S02003468","1"
"ML1 1AL","ML1  1AL","ML1 1AL","201406","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277465","0657512","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.795313,-3.956040,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170070","S01018709","S02003468","1"
"ML1 1AN","ML1  1AN","ML1 1AN","201612","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277635","0657612","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.796254,-3.953375,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170057","S01018709","S02003468","1"
"ML1 1AP","ML1  1AP","ML1 1AP","201704","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277483","0657801","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.797913,-3.955883,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170037","S01018709","S02003468","1"
"ML1 1AQ","ML1  1AQ","ML1 1AQ","201704","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277563","0657818","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.798086,-3.954615,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170038","S01018709","S02003468","1"
"ML1 1AR","ML1  1AR","ML1 1AR","202501","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275178","0657845","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032367","23C02","S99999999","S01004616","S02000886","1","5C1","S00124196","S01011496","S02002159","S34004639","S03000029","S99999999","1","7A1",55.797718,-3.992647,"S99999999","","S23000009",387,"S99999999","S99999999","S00169955","S01018758","S02003477","1"
"ML1 1AS","ML1  1AS","ML1 1AS","202310","","S99999999","S99999999","S12000050","S13003060","S99999999","0","277328","0657541","2","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033610","23C05","S99999999","S01004613","S02000885","1","4A1","S00125380","S01011451","S02002150","S34004591","S03000029","S99999999","6","8A1",55.795539,-3.958237,"S99999999","","S23000009",4461,"S99999999","S99999999","S00170064","S01018709","S02003468","1"
"ML1 1AT","ML1  1AT","ML1 1AT","199912","","S99999999","S99999999","S12000050","S13003060","S99999999","0","276691","0655926","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033357","23C12","S99999999","S01004566","S02000876","1","4A1","S00125102","S01011374","S02002138","S34004574","S03000029","S99999999","1","8A1",55.780874,-3.967660,"S99999999","","S23000009",4576,"S99999999","S99999999","S00170286","S01018627","S02003454","1"
"ML1 1AX","ML1  1AX","ML1 1AX","199402","199806","S99999999","S99999999","S12000050","S13003060","S99999999","1","275427","0657018","6","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000525","S03000029","S99999999","1","7C1",55.790356,-3.988300,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1AZ","ML1  1AZ","ML1 1AZ","199012","","S99999999","S99999999","S12000050","S13003059","S99999999","1","275276","0657314","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033358","23C02","S99999999","S01004604","S02000881","1","5A2","S00125103","S01011471","S02002155","S34004651","S03000029","S99999999","1","7B3",55.792975,-3.990842,"S99999999","","S23000009",2883,"S99999999","S99999999","S00170082","S01018733","S02003473","1"
"ML1 1BA","ML1  1BA","ML1 1BA","198001","201902","S99999999","S99999999","S12000050","S13003060","S99999999","1","275212","0656871","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032358","23C11","S99999999","S01004596","S02000881","1","5A1","S00124043","S01011473","S02002155","S34004672","S03000029","S99999999","1","7D2",55.788980,-3.991660,"S99999999","","S23000009",192,"S99999999","S99999999","S00170137","S01018735","S02003473","1"
"ML1 1BB","ML1  1BB","ML1 1BB","198001","","S99999999","S99999999","S12000050","S13003060","S99999999","0","275110","0657024","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.790328,-3.993355,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BD","ML1  1BD","ML1 1BD","198001","199806","S99999999","S99999999","S12000050","S13003060","S99999999","1","275272","0656863","8","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033771","23C11","S99999999","S01004596","S02000881","1","5A2","S00125565","S01011473","S02002155","S34004672","S03000029","S99999999","1","7D2",55.788924,-3.990700,"S99999999","","S23000009",192,"S99999999","S99999999","S00170137","S01018735","S02003473","1"
"ML1 1BE","ML1  1BE","ML1 1BE","199612","199912","S99999999","S99999999","S12000050","S13003060","S99999999","1","275427","0657018","6","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000525","S03000029","S99999999","1","7C1",55.790356,-3.988300,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BG","ML1  1BG","ML1 1BG","197308","199207","S99999999","S99999999","S12000050","S13003060","S99999999","1","275090","0657010","8","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.790197,-3.993668,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BH","ML1  1BH","ML1 1BH","198001","","S99999999","S99999999","S12000050","S13003060","S99999999","0","275109","0657050","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.790561,-3.993383,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BJ","ML1  1BJ","ML1 1BJ","200201","200203","S99999999","S99999999","S12000050","S13003060","S99999999","1","275254","0657182","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000524","S03000029","S99999999","1","7C1",55.791784,-3.991133,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BL","ML1  1BL","ML1 1BL","200201","200203","S99999999","S99999999","S12000050","S13003060","S99999999","1","275070","0657170","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032360","23C03","S99999999","S01004606","S02000886","1","5B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.791629,-3.994060,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BN","ML1  1BN","ML1 1BN","198001","","S99999999","S99999999","S12000050","S13003060","S99999999","0","275103","0657133","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.791305,-3.993517,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BP","ML1  1BP","ML1 1BP","198511","","S99999999","S99999999","S12000050","S13003059","S99999999","0","274933","0657524","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032360","23C03","S99999999","S01004606","S02000886","1","5B1","S00125567","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B2",55.794772,-3.996405,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BQ","ML1  1BQ","ML1 1BQ","198001","200401","S99999999","S99999999","S12000050","S13003060","S99999999","1","275110","0657023","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.790319,-3.993355,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BS","ML1  1BS","ML1 1BS","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275113","0657274","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032360","23C03","S99999999","S01004606","S02000886","1","5B1","S00124045","S01011494","S02002159","S34004651","S03000029","S99999999","1","7C1",55.792574,-3.993422,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170087","S01018758","S02003477","1"
"ML1 1BT","ML1  1BT","ML1 1BT","200501","201705","S99999999","S99999999","S12000050","S13003059","S99999999","1","275112","0657276","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032360","23C03","S99999999","S01004606","S02000886","1","5B1","S00124045","S01011494","S02002159","S34004651","S03000029","S99999999","1","7C1",55.792591,-3.993439,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170087","S01018758","S02003477","1"
"ML1 1BU","ML1  1BU","ML1 1BU","198203","199405","S99999999","S99999999","S12000050","S13003059","S99999999","0","274970","0657340","8","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032360","23C03","S99999999","S01004606","S02000886","1","5B1","S00124042","S01011473","S02002155","S34000527","S03000029","S99999999","1","7C1",55.793129,-3.995731,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BW","ML1  1BW","ML1 1BW","198001","","S99999999","S99999999","S12000050","S13003060","S99999999","1","275132","0657097","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.790989,-3.993038,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1BX","ML1  1BX","ML1 1BX","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","274896","0657504","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032360","23C03","S99999999","S01004606","S02000886","1","5B1","S00125567","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B2",55.794583,-3.996986,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170013","S01018757","S02003477","1"
"ML1 1BY","ML1  1BY","ML1 1BY","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275104","0657940","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033774","23C03","S99999999","S01004616","S02000886","1","4A1","S00125567","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B2",55.798552,-3.993870,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170013","S01018757","S02003477","1"
"ML1 1BZ","ML1  1BZ","ML1 1BZ","199309","","S99999999","S99999999","S12000050","S13003059","S99999999","0","274982","0657737","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033775","23C03","S99999999","S01004616","S02000886","1","4A1","S00125568","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B4",55.796697,-3.995722,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170022","S01018757","S02003477","1"
"ML1 1DA","ML1  1DA","ML1 1DA","198001","200802","S99999999","S99999999","S12000050","S13003060","S99999999","1","275148","0657056","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000527","S03000029","S99999999","1","7C1",55.790625,-3.992764,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1DB","ML1  1DB","ML1 1DB","199205","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275075","0657918","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033775","23C03","S99999999","S01004616","S02000886","1","4A1","S00125568","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B4",55.798347,-3.994322,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170022","S01018757","S02003477","1"
"ML1 1DD","ML1  1DD","ML1 1DD","197501","199412","S99999999","S99999999","S12000050","S13003060","S99999999","1","275090","0657010","8","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.790197,-3.993668,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1DE","ML1  1DE","ML1 1DE","198204","","S99999999","S99999999","S12000050","S13003060","S99999999","1","275132","0657097","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032357","23C11","S99999999","S01004596","S02000881","1","2B1","S00124042","S01011473","S02002155","S34000526","S03000029","S99999999","1","7C1",55.790989,-3.993038,"S99999999","","S23000009",192,"S99999999","S99999999","S00170074","S01018735","S02003473","1"
"ML1 1DF","ML1  1DF","ML1 1DF","199205","","S99999999","S99999999","S12000050","S13003059","S99999999","0","274947","0657793","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033776","23C03","S99999999","S01004616","S02000886","1","4A1","S00125569","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B1",55.797191,-3.996305,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170024","S01018757","S02003477","1"
"ML1 1DG","ML1  1DG","ML1 1DG","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275081","0657303","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032359","23C03","S99999999","S01004606","S02000886","1","5B1","S00124044","S01011494","S02002159","S34004651","S03000029","S99999999","1","7C1",55.792826,-3.993945,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170080","S01018758","S02003477","1"
"ML1 1DH","ML1  1DH","ML1 1DH","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275180","0657593","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032363","23C02","S99999999","S01004606","S02000886","1","5B1","S00124048","S01011494","S02002159","S34004651","S03000029","S99999999","1","8C3",55.795455,-3.992500,"S99999999","","S23000009",2167,"S99999999","S99999999","S00169955","S01018758","S02003477","1"
"ML1 1DJ","ML1  1DJ","ML1 1DJ","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275236","0657591","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032364","23C03","S99999999","S01004606","S02000886","1","5B1","S00124050","S01011494","S02002159","S34004651","S03000029","S99999999","1","8C3",55.795452,-3.991606,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170068","S01018758","S02003477","1"
"ML1 1DL","ML1  1DL","ML1 1DL","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275165","0657651","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032363","23C02","S99999999","S01004606","S02000886","1","5B1","S00124048","S01011494","S02002159","S34004651","S03000029","S99999999","1","8C3",55.795972,-3.992765,"S99999999","","S23000009",2167,"S99999999","S99999999","S00169955","S01018758","S02003477","1"
"ML1 1DN","ML1  1DN","ML1 1DN","199205","","S99999999","S99999999","S12000050","S13003059","S99999999","0","274874","0657682","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033776","23C03","S99999999","S01004616","S02000886","1","4A1","S00125569","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B1",55.796175,-3.997418,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170024","S01018757","S02003477","1"
"ML1 1DP","ML1  1DP","ML1 1DP","199205","199405","S99999999","S99999999","S12000050","S13003059","S99999999","0","275110","0657910","8","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033774","23C03","S99999999","S01004616","S02000886","1","4A1","S00125567","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B2",55.798284,-3.993760,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170013","S01018757","S02003477","1"
"ML1 1DQ","ML1  1DQ","ML1 1DQ","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275105","0657426","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032359","23C03","S99999999","S01004606","S02000886","1","5B1","S00124044","S01011494","S02002159","S34004651","S03000029","S99999999","1","7C1",55.793936,-3.993619,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170080","S01018758","S02003477","1"
"ML1 1DR","ML1  1DR","ML1 1DR","199205","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275009","0657669","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033773","23C03","S99999999","S01004606","S02000886","1","4A1","S00125566","S01011494","S02002159","S34004651","S03000029","S99999999","1","5A1",55.796094,-3.995260,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170050","S01018758","S02003477","1"
"ML1 1DS","ML1  1DS","ML1 1DS","199205","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275069","0657736","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033773","23C03","S99999999","S01004606","S02000886","1","4A1","S00125566","S01011494","S02002159","S34004651","S03000029","S99999999","1","5A1",55.796711,-3.994334,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170050","S01018758","S02003477","1"
"ML1 1DT","ML1  1DT","ML1 1DT","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275100","0657697","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032361","23C03","S99999999","S01004606","S02000886","1","5B1","S00124046","S01011494","S02002159","S34004651","S03000029","S99999999","1","7C3",55.796369,-3.993822,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170045","S01018758","S02003477","1"
"ML1 1DU","ML1  1DU","ML1 1DU","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275138","0657615","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032361","23C03","S99999999","S01004606","S02000886","1","5B1","S00124046","S01011494","S02002159","S34004651","S03000029","S99999999","1","7C3",55.795642,-3.993179,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170045","S01018758","S02003477","1"
"ML1 1DW","ML1  1DW","ML1 1DW","199205","","S99999999","S99999999","S12000050","S13003059","S99999999","0","274994","0657831","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00033775","23C03","S99999999","S01004616","S02000886","1","4A1","S00125568","S01011493","S02002159","S34004651","S03000029","S99999999","1","6B4",55.797544,-3.995573,"S99999999","","S23000009",6511,"S99999999","S99999999","S00170022","S01018757","S02003477","1"
"ML1 1DX","ML1  1DX","ML1 1DX","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275067","0657611","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032364","23C03","S99999999","S01004606","S02000886","1","5B1","S00124050","S01011494","S02002159","S34004651","S03000029","S99999999","1","8C3",55.795588,-3.994309,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170068","S01018758","S02003477","1"
"ML1 1DY","ML1  1DY","ML1 1DY","200106","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275062","0657486","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032364","23C03","S99999999","S01004606","S02000886","1","5B1","S00124050","S01011494","S02002159","S34004651","S03000029","S99999999","1","8C3",55.794464,-3.994332,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170068","S01018758","S02003477","1"
"ML1 1DZ","ML1  1DZ","ML1 1DZ","198001","","S99999999","S99999999","S12000050","S13003059","S99999999","0","275002","0657604","1","S08000032","S99999999","S92000003","S99999999","0","S14000099","S15000001","S09000006","S22000071","S03000029","S30000053","99ZZ00","S00032364","23C03","S99999999","S01004606","S02000886","1","5B1","S00124049","S01011494","S02002159","S34004651","S03000029","S99999999","1","7D1",55.795508,-3.995342,"S99999999","","S23000009",2167,"S99999999","S99999999","S00170069","S01018758","S02003477","1"
